venda_id,data,vendedor_id,regiao,categoria,produto,quantidade,preco_unitario,desconto_pct,receita,custo,lucro
1,2022-01-01,1,Sul,Periféricos,Teclado Redragon,2,205.07,0.17,340.42,252.0,88.42
2,2022-01-01,4,Sul,Monitores,"Samsung 32""",3,1211.96,0.09,3308.65,2244.0,1064.65
3,2022-01-01,4,Sul,Notebooks,Asus VivoBook,2,2575.16,0.06,4841.3,4032.0,809.3
4,2022-01-01,5,Sudeste,Notebooks,Dell Inspiron,1,2982.88,0.06,2803.91,2016.0,787.91
5,2022-01-01,5,Sudeste,Periféricos,Mouse Logitech,6,179.11,0.19,870.47,756.0,114.47
6,2022-01-01,6,Sudeste,Smartphones,Xiaomi 12,3,2028.33,0.03,5902.44,4218.0,1684.44
7,2022-01-01,7,Sudeste,Monitores,"Dell 27""",2,1034.94,0.08,1904.29,1496.0,408.29
8,2022-01-01,7,Sudeste,Monitores,"Dell 27""",1,1178.27,0.02,1154.7,748.0,406.7
9,2022-01-01,8,Sudeste,Smartphones,Motorola Edge,3,1837.18,0.05,5235.96,4218.0,1017.96
10,2022-01-01,8,Sudeste,Smartphones,Xiaomi 12,3,2021.33,0.08,5578.87,4218.0,1360.87
11,2022-01-01,9,Sudeste,Smartphones,Xiaomi 12,3,1827.15,0.1,4933.31,4218.0,715.31
12,2022-01-01,11,Centro-Oeste,Monitores,"AOC 24""",3,1089.55,0.05,3105.22,2244.0,861.22
13,2022-01-01,12,Centro-Oeste,Notebooks,Dell Inspiron,2,2626.99,0.05,4991.28,4032.0,959.28
14,2022-01-01,13,Centro-Oeste,Acessórios,Hub USB,17,94.41,0.1,1444.47,918.0,526.47
15,2022-01-01,15,Norte,Notebooks,Dell Inspiron,2,2997.2,0.13,5215.13,4032.0,1183.13
16,2022-01-01,16,Norte,Smartphones,Samsung A54,2,1849.41,0.07,3439.9,2812.0,627.9
17,2022-01-01,18,Norte,Smartphones,Xiaomi 12,3,1951.15,0.06,5502.24,4218.0,1284.24
18,2022-01-01,19,Nordeste,Monitores,"Dell 27""",3,1032.03,0.05,2941.29,2244.0,697.29
19,2022-01-01,20,Nordeste,Monitores,"LG 24""",1,1154.71,0.1,1039.24,748.0,291.24
20,2022-01-01,20,Nordeste,Notebooks,HP Pavilion,1,3135.11,0.07,2915.65,2016.0,899.65
21,2022-01-01,20,Nordeste,Notebooks,Lenovo IdeaPad,1,3134.61,0.04,3009.23,2016.0,993.23
22,2022-01-01,21,Nordeste,Notebooks,Lenovo IdeaPad,1,2609.87,0.1,2348.88,2016.0,332.88
23,2022-01-01,21,Nordeste,Smartphones,Motorola Edge,3,2168.07,0.11,5788.75,4218.0,1570.75
24,2022-01-01,22,Nordeste,Smartphones,Motorola Edge,2,2182.7,0.08,4016.17,2812.0,1204.17
25,2022-01-01,22,Nordeste,Monitores,"AOC 24""",1,1023.28,0.06,961.88,748.0,213.88
26,2022-01-02,1,Sul,Monitores,"Dell 27""",1,1151.82,0.02,1128.78,748.0,380.78
27,2022-01-02,2,Sul,Notebooks,Lenovo IdeaPad,2,2567.18,0.02,5031.67,4032.0,999.67
28,2022-01-02,4,Sul,Acessórios,Carregador 65W,8,93.13,0.09,677.99,432.0,245.99
29,2022-01-02,5,Sudeste,Acessórios,Carregador 65W,12,83.12,0.08,917.64,648.0,269.64
30,2022-01-02,5,Sudeste,Acessórios,Hub USB,4,91.51,0.02,358.72,216.0,142.72
31,2022-01-02,7,Sudeste,Notebooks,Lenovo IdeaPad,2,2654.11,0.1,4777.4,4032.0,745.4
32,2022-01-02,7,Sudeste,Periféricos,Webcam Logitech,4,170.26,0.19,551.64,504.0,47.64
33,2022-01-02,8,Sudeste,Notebooks,Asus VivoBook,1,3085.62,0.1,2777.06,2016.0,761.06
34,2022-01-02,8,Sudeste,Notebooks,Dell Inspiron,1,3198.3,0.05,3038.39,2016.0,1022.39
35,2022-01-02,9,Sudeste,Acessórios,Carregador 65W,6,100.45,0.02,590.65,324.0,266.65
36,2022-01-02,10,Sudeste,Acessórios,Suporte Notebook,10,101.85,0.09,926.84,540.0,386.84
37,2022-01-02,11,Centro-Oeste,Monitores,"AOC 24""",1,1032.57,0.07,960.29,748.0,212.29
38,2022-01-02,12,Centro-Oeste,Monitores,"LG 24""",1,1195.69,0.03,1159.82,748.0,411.82
39,2022-01-02,12,Centro-Oeste,Monitores,"AOC 24""",1,1128.28,0.11,1004.17,748.0,256.17
40,2022-01-02,12,Centro-Oeste,Notebooks,Dell Inspiron,1,3115.94,0.04,2991.3,2016.0,975.3
41,2022-01-02,13,Centro-Oeste,Periféricos,Webcam Logitech,10,167.39,0.18,1372.6,1260.0,112.6
42,2022-01-02,14,Centro-Oeste,Monitores,"LG 24""",3,1105.29,0.12,2917.97,2244.0,673.97
43,2022-01-02,15,Norte,Smartphones,Xiaomi 12,1,2028.12,0.1,1825.31,1406.0,419.31
44,2022-01-02,18,Norte,Acessórios,Suporte Notebook,1,101.9,0.06,95.79,54.0,41.79
45,2022-01-02,19,Nordeste,Monitores,"LG 24""",3,1010.15,0.06,2848.62,2244.0,604.62
46,2022-01-02,21,Nordeste,Notebooks,Lenovo IdeaPad,2,2778.67,0.05,5279.47,4032.0,1247.47
